scientificName,commonName,taxon,leadOffice,status
Noturus munitus,Frecklebelly madtom,Fish,Daphne,Petitioned
Noturus taylori,Caddo madtom,Fish,Arkansas,Petitioned
Percina bimaculata,Chesapeake logperch,Fish,Region 5,Petitioned
Percina brevicauda,Coal darter,Fish,Daphne,Petitioned
Moxostoma robustum,Robust redhorse,Fish,Athens,Petitioned
Euphyes pilatka klotsi,Sawgrass skipper,Butterfly,South Florida,Petitioned
Pseudanophthalmus pontis,Natural Bridge Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus potomaca potomaca,South Branch Valley Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus praetermissus,Overlooked Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus sanctipauli,Saint Paul Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus sericus,Silken Cave Beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus thomasi,Thomas' Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus virginicus,Maiden Spring Cave beetle,Beetle,Region 5,Petitioned
Ammodramus maritimus macgillivraii,MacGillivray's Seaside sparrow,Bird,Charleston,Petitioned
Grus canadensis pratensis,Florida Sandhill crane,Bird,Jacksonville,Petitioned
Laterallus jamaicensis,Black rail,Bird,Charleston,Petitioned
Hobbseus orconectoides,Oktibbeha Rivulet crayfish,Crayfish,Jackson,Petitioned
Euphyes dukesi calhouni,Dukes' skipper,Butterfly,Jacksonville,Petitioned
Pseudanophthalmus intersectus,Crossroads Cave beetle,Beetle,Region 5,Petitioned
Problema bulenta,Rare skipper,Butterfly,Region 5,Petitioned
Agarodes logani,Logan's Agarodes caddisfly,Caddisfly,Panama City,Petitioned
Hydroptila sykorai,Sykora's Hydroptila caddisfly,Caddisfly,Panama City,Petitioned
Lepidostoma morsei,Morse's Little Plain Brown sedge,Caddisfly,Panama City,Petitioned
Oecetis parva,Little Oecetis Longhorn caddisfly,Caddisfly,Jacksonville,Petitioned
Oxyethira setosa,Setose Cream and Brown Mottled microcaddisfly,Caddisfly,Panama City,Petitioned
Triaenodes tridontus,Three-toothed Long-Horned caddisfly,Caddisfly,Panama City,Petitioned
Bouchardina robisoni,Bayou Bodcau crayfish,Crayfish,Arkansas,Petitioned
Cambarus cryptodytes,Dougherty Plain Cave crayfish,Crayfish,Panama City,Petitioned
Cambarus obeyensis,Obey crayfish,Crayfish,Cookeville,Petitioned
Cambarellus blacki,Cypress crayfish,Crayfish,Panama City,Petitioned
Amblyscirtes linda,Linda's Roadside-skipper,Butterfly,Region 3,Petitioned
Stygobromus cooperi,Cooper's Cave amphipod,Amphipod,Region 5,Petitioned
Amphiuma pholeter,One-Toed amphiuma,Amphibian,Panama City,Petitioned
Cryptobranchus alleganiensis ssp.alleganiensis,Eastern hellbender,Amphibian,Region 3,Petitioned
Desmognathus abditus,Cumberland Dusky salamander,Amphibian,Cookeville,Petitioned
Eurycea chamberlaini,Chamberlain's Dwarf salamander,Amphibian,Charleston,Petitioned
Eurycea tynerensis,Oklahoma salamander,Amphibian,Arkansas,Petitioned
Gyrinophilus palleucus,Tennessee Cave salamander,Amphibian,Cookeville,Petitioned
Gyrinophilus subterraneus,West Virginia Spring salamander,Amphibian,Region 5,Petitioned
Haideotriton wallacei,Georgia Blind salamander,Amphibian,Athens,Petitioned
Necturus lewisi,Neuse River waterdog,Amphibian,Raleigh,Petitioned
Pseudobranchus striatus lustricolus,Gulf Hammock Dwarf siren,Amphibian,Jacksonville,Petitioned
Urspelerpes brucei,Patch-nosed salamander,Amphibian,Athens,Petitioned
Pseudanophthalmus montanus,Dry Fork Valley Cave beetle,Beetle,Region 5,Petitioned
Crangonyx hobbsi,Hobb's Cave amphipod,Amphipod,Jacksonville,Petitioned
Pseudanophthalmus limicola,Shenandoah Cave beetle,Beetle,Region 5,Petitioned
Stygobromus indentatus,Tidewater amphipod,Amphipod,Region 5,Petitioned
Stygobromus morrisoni,Morrison's Cave amphipod,Amphipod,Region 5,Petitioned
Stygobromus parvus,Minute Cave amphipod,Amphipod,Region 5,Petitioned
Cicindela marginipennis,Cobblestone Tiger beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus avernus,Endless Caverns Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus cordicollis,Little Kennedy Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus egberti,Narrows Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus hirsutus,Cudjo's Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus hubbardi,Hubbard's Cave beetle,Beetle,Region 5,Petitioned
Pseudanophthalmus hubrichti,Hubricht's Cave beetle,Beetle,Region 5,Petitioned
Cambarus chasmodactylus,New River Riffle crayfish,Crayfish,Region 5,Petitioned
Crangonyx grandimanus,Florida Cave amphipod,Amphipod,Jacksonville,Petitioned
Orconectes maletae,Kisatchie Painted crayfish,Crayfish,Lafayette,Petitioned
Cambarellus lesliei,Angular Dwarf crayfish,Crayfish,Jackson,Petitioned
Fallicambarus petilicarpus,[Unnamed] crayfish,Crayfish,Arkansas,Petitioned
Fallicambarus strawni,Saline Burrowing crayfish,Crayfish,Arkansas,Petitioned
Fusconaia subrotunda,Longsolid,Mussel,Asheville,Petitioned
Hobbseus cristatus,Crested Riverlet crayfish,Crayfish,Jackson,Petitioned
Elliptio arca,Alabama spike,Mussel,Daphne,Petitioned
Hobbseus petilius,Hobbseus crayfish,Crayfish,Jackson,Petitioned
Hobbseus yalobushensis,Yalobusha Riverlet crayfish,Crayfish,Jackson,Petitioned
Orconectes blacki,Calcasieu crayfish,Crayfish,Lafayette,Petitioned
Orconectes eupunctus,Coldwater crayfish,Crayfish,Arkansas,Petitioned
Orconectes hartfieldi,Yazoo crayfish,Crayfish,Jackson,Petitioned
Fallicambarus harpi,[Unnamed] crayfish,Crayfish,Arkansas,Petitioned
Orconectes jonesi,Sucarnoochee River crayfish,Crayfish,Jackson,Petitioned
Fallicambarus gilpini,[Unnamed] crayfish,Crayfish,Arkansas,Petitioned
Orconectes marchandi,Mammoth Spring crayfish,Crayfish,Jackson,Petitioned
Orconectes packardi,Appalachian Cave crayfish,Crayfish,Jackson,Petitioned
Orconectes sheltae,Shelta Cave crayfish,Crayfish,Jackson,Petitioned
Orconectes virginiensis,Chowanoke crayfish,Crayfish,Region 5,Petitioned
Orconectes wrighti,Hardin crayfish,Crayfish,Cookeville,Petitioned
Procambarus acherontis,Orlando Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus apalachicolae,Coastal Flatwoods crayfish,Crayfish,Panama City,Petitioned
Procambarus attiguus,Silver Glen Springs crayfish,Crayfish,Jacksonville,Petitioned
Procambarus barbiger,Jackson Prairie crayfish,Crayfish,Jackson,Petitioned
Procambarus cometes,Mississippi Flatwoods crayfish,Crayfish,Jackson,Petitioned
Procambarus delicatus,Bigcheek Cave crayfish,Crayfish,Jacksonville,Petitioned
Orconectes incomptus,Tennessee Cave crayfish,Crayfish,Cookeville,Petitioned
Cambarus nerterius,Greenbrier Cave crayfish,Crayfish,Region 5,Petitioned
Procambarus econfinae,Panama City crayfish,Crayfish,Panama City,Petitioned
Cambarus chaugaensis,Chauga crayfish,Crayfish,Jackson,Petitioned
Cambarus coosawattae,Coosawattae crayfish,Crayfish,Jackson,Petitioned
Cambarus cracens,Slendercraw crayfish,Crayfish,Jackson,Petitioned
Cambarus cymatilis,Conasauga Blue burrower,Crayfish,Jackson,Petitioned
Cambarus eeseeohensis,Grandfather Mountain crayfish,Crayfish,Jackson,Petitioned
Cambarus elkensis,Elk River crayfish,Crayfish,Region 5,Petitioned
Cambarus extraneus,Chickamauga crayfish,Crayfish,Jackson,Petitioned
Cambarus fasciatus,Etowah crayfish,Crayfish,Jackson,Petitioned
Cambarus georgiae,Little Tennessee crayfish,Crayfish,Jackson,Petitioned
Cambarus harti,Piedmont Blue burrower,Crayfish,Jackson,Petitioned
Fallicambarus hortoni,Hatchie Burrowing crayfish,Crayfish,Cookeville,Petitioned
Cambarus jonesi,Alabama Cave crayfish,Crayfish,Jackson,Petitioned
Cambarus bouchardi,Big South Fork crayfish,Crayfish,Jackson,Petitioned
Cambarus parrishi,Parrish crayfish,Crayfish,Jackson,Petitioned
Cambarus pristinus,Pristine crayfish,Crayfish,Cookeville,Petitioned
Cambarus speciosus,Beautiful crayfish,Crayfish,Jackson,Petitioned
Cambarus spicatus,Little River crayfish,Crayfish,Jackson,Petitioned
Cambarus strigosus,Lean crayfish,Crayfish,Jackson,Petitioned
Cambarus veteranus,Big Sandy crayfish,Crayfish,Region 5,Petitioned
Cambarus williami,Brawley's Fork crayfish,Crayfish,Cookeville,Petitioned
Distocambarus carlsoni,Mimic crayfish,Crayfish,Jackson,Petitioned
